Scenario,Window,Method,ARI,Waste,RLE,SLCA,Carbon,Equity
adaptive_pricing,late,hybrid_rl,0.6254671688893721,0.036886598517772644,0.8473576514978622,0.7375863146436011,722.2183281579995,0.6752403862978652
adaptive_pricing,late,agribrain,0.6718238070277676,0.03541705535520786,0.0,0.7052727704552763,778.0480352239948,0.6406104614624709
adaptive_pricing,late,mcp_only,0.6968799448782149,0.03082458115986288,0.0,0.7278758576187597,705.8215398163545,0.6646109606906724
adaptive_pricing,late,pirag_only,0.6938622118140207,0.03136267738168521,0.0,0.7247585034701748,703.5223712463632,0.6565080527468933
adaptive_pricing,late,no_context,0.6656951477685258,0.036571116391634885,0.0,0.7000395208605402,844.5261085591479,0.6334318069026249
baseline,early,static,0.5403574192190541,0.0810383545904499,0.0,0.5945923425081107,1417.4737298556126,0.5799094611925733
baseline,early,hybrid_rl,0.6553729752731883,0.052707352507873374,0.0,0.6970773685107158,949.1616544541538,0.6238236224511093
baseline,early,agribrain,0.6974992853680974,0.030653329254225693,0.0,0.727886870819798,776.0396684304333,0.6556736416487785
baseline,early,mcp_only,0.6685728954610478,0.038376198548835366,0.0,0.7025122838495371,852.0206936799381,0.6326835129017299
baseline,early,pirag_only,0.6849491186376672,0.025900625581945193,0.0,0.7111302974719975,816.4992360753822,0.6424946917079285
baseline,early,no_context,0.667724752378529,0.03707648439849101,0.0,0.7009068753471149,932.2367350499217,0.6317727632170619
baseline,mid,static,0.5227540378122792,0.06082612612700403,0.0,0.5871822029224251,1439.440098865266,0.5704031713692592
baseline,mid,hybrid_rl,0.6265046177112218,0.05496926575031267,0.777200091606742,0.6982871064118142,957.3369656652155,0.6305037772798038
baseline,mid,agribrain,0.6829377214951049,0.02876148180708617,0.0,0.7116010861666456,818.3576156866184,0.6459596450260421
baseline,mid,mcp_only,0.6856924135612296,0.030893698789386675,0.0,0.7169658155752964,744.3543475925778,0.6519278125831606
baseline,mid,pirag_only,0.7047984689975992,0.024697581226687675,0.0,0.7321545471751029,733.9220576988381,0.6659653764422128
baseline,mid,no_context,0.6573655432457371,0.035062322124343646,0.0,0.6894530568882745,896.4571753959394,0.6214112766310582
baseline,late,static,0.4982418718817992,0.05211937400798747,0.0,0.5861913505762415,1387.0936585620263,0.570648150657725
baseline,late,hybrid_rl,0.6372150785592153,0.03605955954794954,0.8161397695156859,0.735796130397604,796.1208953423454,0.6653557811280076
baseline,late,agribrain,0.7057568491619713,0.02476605165053726,0.0,0.7320131435049264,716.159665888087,0.6651954608161627
baseline,late,mcp_only,0.6819544799442759,0.03288804272124487,0.0,0.7131335365546461,791.5995120602391,0.6429232044992395
baseline,late,pirag_only,0.6797646598476005,0.038173061393423205,0.0,0.7140321018612662,792.1155737430665,0.642448339774936
baseline,late,no_context,0.664284100513969,0.03478036229116629,0.0,0.6965697922414935,866.7885313032987,0.628869862372833
