Scenario,Variant,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,DecisionLatencyMs,DecisionLatencyMs_ci_low,DecisionLatencyMs_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
overproduction,agribrain_pert_50_static,0.5659,0.5613,0.5709,0.8234,0.7869,0.8555,0.0430,0.0405,0.0454,0.6579,0.6535,0.6625,12.9646,10.7440,15.6317,0.6948,0.6875,0.7024,0.1559,0.1350,0.1765,0.0891,0.0683,0.1148,20
overproduction,agribrain_no_bonus,0.5620,0.5575,0.5672,0.8048,0.7678,0.8393,0.0446,0.0420,0.0472,0.6543,0.6500,0.6590,20.4176,17.0507,24.7026,0.6948,0.6875,0.7024,0.1792,0.1568,0.2008,0.0883,0.0676,0.1139,20
overproduction,agribrain_theta_pert_10,0.5661,0.5617,0.5713,0.8190,0.7812,0.8531,0.0430,0.0406,0.0456,0.6581,0.6538,0.6629,28.4156,23.3170,34.0599,0.6948,0.6875,0.7024,0.1584,0.1371,0.1793,0.0896,0.0686,0.1150,20
overproduction,agribrain_theta_pert_25,0.5644,0.5591,0.5707,0.8142,0.7762,0.8482,0.0438,0.0410,0.0467,0.6566,0.6516,0.6622,25.5776,19.3665,32.2172,0.6948,0.6875,0.7024,0.1691,0.1428,0.1961,0.0882,0.0664,0.1153,20
overproduction,agribrain_theta_pert_50,0.5668,0.5602,0.5733,0.8300,0.7847,0.8662,0.0430,0.0401,0.0459,0.6588,0.6528,0.6647,20.3925,15.3304,27.8774,0.6948,0.6875,0.7024,0.1632,0.1346,0.1924,0.0824,0.0630,0.1090,20
cyber_outage,static,0.4445,0.4421,0.4478,0.0000,0.0000,0.0000,0.1114,0.1045,0.1149,0.5471,0.5462,0.5479,0.0798,0.0786,0.0818,0.6540,0.6476,0.6594,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
cyber_outage,hybrid_rl,0.5514,0.5484,0.5542,0.5334,0.5094,0.5531,0.0688,0.0654,0.0711,0.6473,0.6446,0.6499,0.1185,0.1167,0.1214,0.6595,0.6510,0.6675,0.4697,0.4543,0.4818,0.0039,0.0018,0.0073,20
cyber_outage,no_pinn,0.5792,0.5737,0.5823,0.6778,0.6609,0.6918,0.0508,0.0484,0.0530,0.6697,0.6654,0.6723,0.1192,0.1174,0.1223,0.6597,0.6543,0.6653,0.3332,0.3223,0.3457,0.0048,0.0031,0.0069,20
cyber_outage,no_slca,0.5728,0.5689,0.5757,0.7069,0.6915,0.7239,0.0499,0.0477,0.0525,0.6638,0.6609,0.6665,0.1189,0.1171,0.1218,0.6561,0.6477,0.6648,0.3115,0.2995,0.3302,0.0021,0.0010,0.0037,20
cyber_outage,agribrain,0.6066,0.6034,0.6100,0.7129,0.6955,0.7226,0.0366,0.0340,0.0386,0.6908,0.6884,0.6936,18.7039,14.7410,22.4475,0.6533,0.6486,0.6573,0.2834,0.2725,0.2950,0.0021,0.0010,0.0037,20
cyber_outage,no_context,0.5932,0.5897,0.5967,0.7408,0.7254,0.7549,0.0403,0.0384,0.0423,0.6795,0.6767,0.6826,0.1196,0.1178,0.1226,0.6550,0.6483,0.6613,0.2719,0.2590,0.2838,0.0024,0.0011,0.0040,20
cyber_outage,mcp_only,0.5965,0.5929,0.6001,0.7169,0.6975,0.7338,0.0402,0.0382,0.0422,0.6823,0.6793,0.6856,9.7237,6.8439,14.4926,0.6550,0.6483,0.6613,0.2919,0.2787,0.3058,0.0029,0.0013,0.0053,20
