Scenario,Method,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,Carbon,Carbon_ci_low,Carbon_ci_high,Equity,Equity_ci_low,Equity_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,OperatingEnvelopeViolationRate,OperatingEnvelopeViolationRate_ci_low,OperatingEnvelopeViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
adaptive_pricing,no_context,0.6298,0.6224,0.6375,0.7227,0.6873,0.7598,0.0606,0.0566,0.0651,0.7170,0.7123,0.7222,2622,2560,2678,0.6494,0.6444,0.6551,0.1160,0.1132,0.1182,0.1160,0.1134,0.1182,0.2446,0.2013,0.2808,0.0866,0.0659,0.1132,20
adaptive_pricing,mcp_only,0.6363,0.6292,0.6435,0.7283,0.6936,0.7639,0.0594,0.0556,0.0637,0.7234,0.7193,0.7280,2537,2484,2588,0.6568,0.6520,0.6622,0.1160,0.1132,0.1182,0.1160,0.1132,0.1181,0.1833,0.1505,0.2169,0.0848,0.0647,0.1109,20
adaptive_pricing,pirag_only,0.6420,0.6343,0.6492,0.7291,0.6928,0.7667,0.0585,0.0548,0.0629,0.7290,0.7251,0.7334,2469,2417,2518,0.6625,0.6577,0.6678,0.1160,0.1134,0.1182,0.1160,0.1132,0.1182,0.2022,0.1656,0.2382,0.0804,0.0594,0.1083,20
adaptive_pricing,agribrain,0.6482,0.6402,0.6558,0.7349,0.6976,0.7708,0.0574,0.0536,0.0617,0.7350,0.7311,0.7392,2388,2340,2435,0.6704,0.6654,0.6755,0.1160,0.1134,0.1182,0.1160,0.1132,0.1182,0.1421,0.1130,0.1743,0.0804,0.0607,0.1062,20
baseline,static,0.5230,0.5181,0.5279,0.0000,0.0000,0.0000,0.0738,0.0695,0.0782,0.5977,0.5971,0.5983,4198,4169,4229,0.5844,0.5836,0.5851,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
baseline,hybrid_rl,0.6464,0.6408,0.6528,0.5302,0.3641,0.6460,0.0541,0.0510,0.0570,0.7230,0.7177,0.7306,2647,2553,2718,0.6526,0.6471,0.6612,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.2500,0.1800,0.3100,0.1350,0.0900,0.1800,20
baseline,no_pinn,0.6673,0.6615,0.6730,0.5550,0.3756,0.6764,0.0510,0.0481,0.0537,0.7436,0.7383,0.7495,2387,2313,2453,0.6758,0.6697,0.6834,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.1650,0.1150,0.2200,0.1250,0.0800,0.1750,20
baseline,no_slca,0.6516,0.6456,0.6578,0.5192,0.3624,0.6352,0.0534,0.0503,0.0561,0.7280,0.7226,0.7353,2584,2494,2657,0.6580,0.6522,0.6668,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.1950,0.1350,0.2550,0.1350,0.0900,0.1800,20
baseline,no_context,0.6541,0.6486,0.6602,0.5530,0.3808,0.6768,0.0529,0.0500,0.0557,0.7308,0.7258,0.7378,2549,2462,2615,0.6611,0.6556,0.6701,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.2050,0.1450,0.2750,0.1300,0.0850,0.1800,20
baseline,mcp_only,0.6598,0.6543,0.6653,0.5572,0.3803,0.6804,0.0520,0.0491,0.0548,0.7364,0.7317,0.7428,2477,2395,2539,0.6676,0.6621,0.6759,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.1650,0.1100,0.2150,0.1250,0.0800,0.1750,20
baseline,pirag_only,0.6618,0.6559,0.6679,0.5530,0.3794,0.6746,0.0518,0.0489,0.0546,0.7382,0.7330,0.7446,2456,2371,2523,0.6693,0.6634,0.6778,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.2000,0.1400,0.2600,0.1250,0.0800,0.1750,20
baseline,agribrain,0.6678,0.6620,0.6734,0.5572,0.3879,0.6795,0.0509,0.0480,0.0537,0.7441,0.7389,0.7501,2381,2307,2446,0.6764,0.6702,0.6844,0.0347,0.0347,0.0347,0.0347,0.0347,0.0347,0.1600,0.1100,0.2100,0.1250,0.0800,0.1750,20
