Scenario,Window,Method,dARI_vs_static,dWaste_vs_static,dSLCA_vs_static,dRLE_vs_static
cyber_outage,mid,no_context,0.2070856968869213,-0.08974684663424101,0.14934016858371735,1.0
cyber_outage,late,hybrid_rl,0.16695913391063283,-0.09662053248055932,0.16234818324143496,0.8434210553347765
cyber_outage,late,agribrain,0.2873351069499847,-0.11636196885254527,0.1636747061609054,1.0
cyber_outage,late,mcp_only,0.29522021790322867,-0.11822793603588579,0.1727403646992981,1.0
cyber_outage,late,pirag_only,0.26268895271591325,-0.1015239120066952,0.14744219021711047,1.0
cyber_outage,late,no_context,0.2717710199286338,-0.10585029301152726,0.15465058578177138,0.0
adaptive_pricing,early,hybrid_rl,0.09446767823924118,-0.04791021328411964,0.06921617322619811,0.0
adaptive_pricing,early,agribrain,0.1545262026350096,-0.05954586668562938,0.12606641865287205,0.0
adaptive_pricing,early,mcp_only,0.1479690702172456,-0.06138996565383216,0.1173175539146879,0.0
adaptive_pricing,early,pirag_only,0.13275979975569197,-0.049427145681461816,0.10879718563291174,0.0
adaptive_pricing,early,no_context,0.12467342927934877,-0.0635171001846434,0.0912511721466811,0.0
adaptive_pricing,mid,hybrid_rl,0.1440852461204682,-0.0648224787086584,0.11806590620505208,0.6547164363935856
adaptive_pricing,mid,agribrain,0.18934759880425306,-0.07173469770941801,0.13061436556711314,0.0
adaptive_pricing,mid,mcp_only,0.17893089920186217,-0.06593362078000231,0.12247926499074557,0.0
adaptive_pricing,mid,pirag_only,0.19015089132356627,-0.06436833057874666,0.13656555632567158,0.0
adaptive_pricing,mid,no_context,0.1696741305947022,-0.07236126288652502,0.10931747644762058,0.0
adaptive_pricing,late,hybrid_rl,0.1743344341934242,-0.06065962183664259,0.16693782984022676,0.8473576514978622
adaptive_pricing,late,agribrain,0.22069107233181962,-0.06212916499920738,0.13462428565190188,0.0
adaptive_pricing,late,mcp_only,0.24574721018226697,-0.06672163919455236,0.15722737281538535,0.0
adaptive_pricing,late,pirag_only,0.2427294771180728,-0.06618354297273002,0.1541100186668004,0.0
adaptive_pricing,late,no_context,0.21456241307257784,-0.06097510396278035,0.12939103605716584,0.0
baseline,early,hybrid_rl,0.11501555605413416,-0.02833100208257653,0.10248502600260512,0.0
baseline,early,agribrain,0.15714186614904324,-0.050385025336224215,0.1332945283116873,0.0
baseline,early,mcp_only,0.1282154762419937,-0.04266215604161454,0.10791994134142646,0.0
baseline,early,pirag_only,0.14459169941861305,-0.05513772900850471,0.11653795496388686,0.0
baseline,early,no_context,0.1273673331594749,-0.04396187019195889,0.10631453283900427,0.0
baseline,mid,hybrid_rl,0.10375057989894254,-0.005856860376691357,0.11110490348938917,0.777200091606742
baseline,mid,agribrain,0.16018368368282565,-0.03206464431991786,0.12441888324422057,0.0
baseline,mid,mcp_only,0.16293837574895031,-0.029932427337617352,0.1297836126528713,0.0
baseline,mid,pirag_only,0.18204443118532,-0.03612854490031635,0.1449723442526778,0.0
baseline,mid,no_context,0.1346115054334579,-0.02576380400266038,0.10227085396584945,0.0
baseline,late,hybrid_rl,0.13897320667741614,-0.01605981446003793,0.14960477982136255,0.8161397695156859
baseline,late,agribrain,0.20751497728017215,-0.027353322357450208,0.1458217929286849,0.0
baseline,late,mcp_only,0.18371260806247675,-0.0192313312867426,0.12694218597840456,0.0
baseline,late,pirag_only,0.1815227879658013,-0.013946312614564263,0.1278407512850247,0.0
baseline,late,no_context,0.16604222863216983,-0.01733901171682118,0.11037844166525201,0.0
